COMMON_NAME,BLD_ADDRESS,PARCEL_ADDRESS,STRUCTURE_TYPE,WARD,COMMUNITY,GLOBALID,MULTIPOLYGON
POINT MCKAY WASHROOM,4103 MONTGOMERY VW NW,103 37 ST NW,WASHROOM,WARD 7,MONTGOMERY,{DA01B0AB-2D8E-4B7F-BE96-10E76783E786},"MULTIPOLYGON (((-114.1524662 51.0640257, -114.1523375 51.0640784, -114.1523559 51.0640963, -114.1523842 51.0641237, -114.1524116 51.0641125, -114.1524253 51.0641258, -114.1524977 51.0640961, -114.1524835 51.0640824, -114.1525124 51.0640706, -114.1524958 51.0640544, -114.1524662 51.0640257)))"
QUEEN'S PARK PUBLIC WASHROOM,3219 4 ST NW,3219 4 ST NW,WASHROOM,WARD 7,MOUNT PLEASANT,{C9B5A6A0-3F7F-46E2-BE46-A0E1EDEF9EA3},"MULTIPOLYGON (((-114.0727265 51.0813396, -114.0727279 51.0813661, -114.0727698 51.0813656, -114.0727697 51.081339, -114.0727265 51.0813396)))"
SHOULDICE ATHL PK WR-STAMPEDE,1515 HOME RD NW,4900 13 AV NW,WASHROOM,WARD 7,MONTGOMERY,{B6015893-069C-4688-9341-6CA66AA166E5},"MULTIPOLYGON (((-114.1688621 51.0716342, -114.1689001 51.0716273, -114.1689554 51.0716156, -114.1689995 51.0716043, -114.1690437 51.0715932, -114.1690751 51.0715834, -114.169047 51.071536, -114.1690288 51.0715403, -114.1688323 51.0715868, -114.1688513 51.0716172, -114.1688578 51.0716274, -114.1688621 51.0716342)))"
SHOULDICE ATHL PK WR-ENCANA,1515 HOME RD NW,4900 13 AV NW,WASHROOM,WARD 7,MONTGOMERY,{A3A3B933-73F8-4A4F-AB70-19C8FCA57FFE},"MULTIPOLYGON (((-114.169158 51.0717903, -114.1691596 51.0717875, -114.1691607 51.0717857, -114.1692314 51.0716643, -114.169237 51.0716547, -114.1691592 51.0716378, -114.1691536 51.071646, -114.1691338 51.0716749, -114.1691106 51.071713, -114.169097 51.0717394, -114.169084 51.0717677, -114.1690818 51.0717724, -114.1690844 51.071773, -114.169158 51.0717903)))"
FESTIVAL MARKET DEPOT - DEMOLISHED,139 BARCLAY PR SW,139 BARCLAY PR SW,WASHROOM,WARD 7,EAU CLAIRE,{DF4C57F9-DFE5-4849-9C60-D6031D6F5C94},"MULTIPOLYGON (((-114.0697429 51.0536368, -114.0696618 51.0536369, -114.0696622 51.0538191, -114.0696705 51.0538191, -114.0696705 51.0538317, -114.0697337 51.0538317, -114.0697337 51.0538186, -114.0697433 51.0538186, -114.0697429 51.0536368)))"
ROTARY PARK COMFORT STN,617 1 ST NE,617 1 ST NE,WASHROOM,WARD 7,CRESCENT HEIGHTS,{9A27955E-FDBD-4A6F-9594-44052B764721},"MULTIPOLYGON (((-114.0607848 51.057215, -114.06069 51.0572153, -114.0606913 51.0573864, -114.0607699 51.0573862, -114.0607861 51.0573861, -114.0607848 51.057215)))"
OLYMPIC PLAZA MULTI-PURPOSE RM,222 8 AV SE,222 8 AV SE,WASHROOM,WARD 7,DOWNTOWN COMMERCIAL CORE,{6B526DF1-9281-4DB8-BC4A-56240DC929F5},"MULTIPOLYGON (((-114.0589274 51.0461609, -114.0589758 51.0461919, -114.0590049 51.0461753, -114.0590228 51.0461654, -114.0589748 51.0461331, -114.0589274 51.0461609)))"
TOMKINS PARK COMFORT STATION,820 17 AV SW,820 17 AV SW,WASHROOM,WARD 8,BELTLINE,{89E21FC5-50A0-4646-9310-B2BD3B44DFC4},"MULTIPOLYGON (((-114.0795114 51.0380129, -114.0795115 51.0379956, -114.0795115 51.0379914, -114.0795115 51.0379898, -114.0795114 51.0379858, -114.0795055 51.0379833, -114.0794996 51.0379822, -114.0794914 51.0379822, -114.0794868 51.0379832, -114.0794855 51.0379834, -114.0794797 51.037988, -114.0794795 51.0379919, -114.0794787 51.0380041, -114.0794783 51.0380106, -114.0794809 51.0380132, -114.0794811 51.0380134, -114.0794875 51.0380162, -114.0794966 51.0380179, -114.0795056 51.0380164, -114.0795114 51.0380129)))"
RIVER PARK BEACH COMFORT STN,1220 50 AV SW,4500 14A ST SW,WASHROOM,WARD 8,ALTADORE,{F45E0144-FD2C-4FF6-A29F-51B794EA5A6F},"MULTIPOLYGON (((-114.0902729 51.0100858, -114.0902544 51.010155, -114.0903985 51.0101703, -114.090417 51.0101011, -114.0902729 51.0100858)))"
PUBLIC WASHROOM,1300 ZOO RD NE,1300 ZOO RD NE,WASHROOM,WARD 9,BRIDGELAND/RIVERSIDE,{FB3D010D-4455-49DE-A4A8-8D68938357AF},"MULTIPOLYGON (((-114.0311713 51.0455646, -114.0311604 51.0455889, -114.0311395 51.045633, -114.0311372 51.0456377, -114.0311734 51.0456445, -114.031254 51.0456597, -114.0312782 51.0456088, -114.03129 51.0455862, -114.0312453 51.0455781, -114.0312187 51.0455733, -114.0311713 51.0455646)))"
ELLISTON PARK COMFORT STATION,2024 60 ST SE,1827 68 ST SE,WASHROOM,WARD 9,09Q,{E76BEC1C-F32A-4753-A757-B13614A41B15},"MULTIPOLYGON (((-113.9448279 51.0353749, -113.9448 51.0353966, -113.944806 51.0353997, -113.9448247 51.0354093, -113.9448298 51.0354119, -113.9448577 51.0353902, -113.944854 51.0353883, -113.9448346 51.0353784, -113.9448279 51.0353749)))"
PEARCE ESTATE PARK COMFORT STN,1450 17A ST SE,1440 17A ST SE,WASHROOM,WARD 9,INGLEWOOD,{43778EFF-4E1B-44CB-A8F3-363A4A1B890E},"MULTIPOLYGON (((-114.0164102 51.041922, -114.0164073 51.0419224, -114.0163417 51.0419314, -114.0163031 51.0419552, -114.016343 51.0420024, -114.0163287 51.0420084, -114.0163568 51.0420418, -114.0164268 51.0420319, -114.0164644 51.0420093, -114.0164247 51.0419607, -114.0164378 51.041954, -114.0164102 51.041922)))"
VALLEYVIEW SPR PK COMFORT STN,3224 26 ST SE,3224 26 ST SE,WASHROOM,WARD 9,DOVER,{84320454-4C05-4F14-B704-856DD7A2587F},"MULTIPOLYGON (((-113.9939281 51.026649, -113.9939279 51.0266665, -113.9939273 51.0267372, -113.9940667 51.0267377, -113.9940674 51.0266511, -113.9940674 51.0266495, -113.9939281 51.026649)))"
PUBLIC WASHROOM,1300 ZOO RD NE,1613 CREEK RD NE,WASHROOM,WARD 9,BRIDGELAND/RIVERSIDE,{16A14A2F-DB32-45D5-8906-805045D3C044},"MULTIPOLYGON (((-114.024288 51.0464224, -114.0242828 51.0464455, -114.0242564 51.0464512, -114.0242534 51.0464387, -114.0242464 51.0464377, -114.0242462 51.0464315, -114.0242361 51.0464312, -114.0242118 51.0464311, -114.0242083 51.0464368, -114.0242019 51.0464367, -114.0241965 51.0464441, -114.0241781 51.0464464, -114.0241734 51.0464503, -114.024124 51.0464486, -114.0241056 51.0464872, -114.0241058 51.0464947, -114.0242791 51.0465074, -114.0242802 51.0465024, -114.0243345 51.0465066, -114.0243491 51.0464275, -114.024288 51.0464224)))"
WEASLEHEAD WASHROOM,6615 37 ST SW,,WASHROOM,,,{F2D275B6-C23D-47BD-82F1-0A7CD203775C},"MULTIPOLYGON (((-114.142944 50.9945227, -114.1429647 50.9945053, -114.1429376 50.9944926, -114.1429329 50.9944965, -114.142917 50.9945099, -114.142944 50.9945227)))"
